"1","Hari","Jaipur","Bikaner","Flight","Air Asia","2018-07-26"
"2","Abhilash","Jaipur","Bikaner","Rail","Indian Railways","2018-07-26"
"3","Naresh","Jaipur","Udaipur","Rail","Indian Railways","2018-07-27"
"4","Krishna","Jodhpur","Ajmer","Flight","SpiceJet","2018-08-27"
"5","Anand","Jaipur","Udaipur","Rail","Indian Railways","2018-09-17"
"6","Murthy","Kota","Alwar","Rail","Indian Railways","2018-05-07"
"7","Abs","Alwar","Kota","Rail","Indian Railways","2018-04-17"
"8","Hemanth","Udaipur","Jaipur","Rail","Indian Railways","2018-03-02"
"9","John","Amer","Bundi","Flight","AirAsia","2018-02-19"
"10","Andrew","Bundi","Amer","Rail","Indian Railways","2018-05-05"
"11","Antony","Ranakpur","Mandawa","Rail","Indian Railways","2018-04-20"
"12","Guna","Beawar","Udaipur","Flight","IndiGo","2018-04-21"
"13","Gopal","Ranakpur","Mandawa","Flight","IndiGo","2018-01-17"
"14","Muthu","Ranakpur","Mandawa","Flight","IndiGo","2018-01-10"
"15","Bala","Sojat","Sikar","Flight","Vistara","2018-02-09"
"16","Carolyn","Sikar","Mandore","Flight","Vistara","2018-03-08"
"17","Angel","Sikar","Sojat","Flight","IndiGo","2018-04-07"
"18","Adk","Sojat","Mandore","Flight","IndiGo","2018-05-06"
"19","Dinesh","Mandore","Sojat","Flight","IndiGo","2018-06-05"
"20","Kumar","Mandore","Sikar","Flight","GoAir","2018-07-04"
"21","Satheesh","Ranakpur","Mandore","Flight","GoAir","2018-08-03"
"22","Aravind","Bundi","Behror","Flight","Vistara","2018-09-02"
"23","Naidu","Sojat","Mandawa","Flight","Vistara","2018-10-01"
"24","Harishwar","Nohar","Sadri","Bus","R-Travels","2018-10-01"
"25","Janaki","Sojat","Ladnun","Bus","R-Travels","2018-10-02"
"26","Raman","Bundi","Mandawa","Flight","Vistara","2018-10-03"
"27","Karthik","Sadri","Mandawa","Bus","R-Travels","2018-10-04"
"28","Gautam","Deeg","Mandawa","Flight","Vistara","2018-10-05"
"29","Ram","Deeg","Mandore","Bus","R-Travels","2018-10-06"
"30","Manoj","Udaipur","Deeg","Bus","R-Travels","2018-10-07"
"31","Praveen","Jaipur","Mandawa","Bus","R-Travels","2018-10-08"
"32","Joshwa","Bikaner","Sadri","Bus","R-Travels","2018-02-01"
"33","Aman","Sojat","Osian","Bus","R-Travels","2018-04-05"
"34","Ameer","Jhalawar","Osian","Bus","Paras Travels","2018-03-05"
